flowInd,time_first,duration,pkts_aggr,bytes_aggr,pkts_ab,pkts_ba,bytes_ab,bytes_ba,mean_Bpp_ab,mean_Bpp_ba,mean_pps_ab,mean_pps_ba,mean_pkts_asm,mean_bytes_asm,time_last,block_local,block_label,label,family,mdoh,session,block,spills_into_next_block,next_block_label,label_contaminated
1,1789843226.940116,178.77963614463806,4792,293568,2412,2380,90868,202700,37.67330016583748,85.16806722689076,13.491469453761614,13.31247815089247,0.496661101836394,0.6904703509919338,1789843405.719752,0,dga:zloader,dga,zloader,1,cloudflare_1,cloudflare_1_0,False,dga,False
2,1789843457.847267,150.04510307312012,5168,265100,2660,2508,77388,187712,29.093233082706767,74.84529505582137,17.728002750637764,16.71497402202989,0.4852941176470588,0.7080799698227084,1789843607.89237,1,dga:qsnatch,dga,qsnatch,1,cloudflare_1,cloudflare_1_1,False,dga,False
6,1789843918.686677,10.350109100341797,344,21508,176,168,8432,13076,47.90909090909091,77.83333333333333,17.004651670211658,16.231712957929307,0.4883720930232558,0.6079598289008741,1789843929.036786,3,benign,benign,benign,0,cloudflare_1,cloudflare_1_3,False,benign,False
7,1789843929.647635,157.07303190231323,4884,254960,2480,2404,77800,177160,31.370967741935484,73.69384359400998,15.788833830764533,15.304982471434652,0.49221949221949224,0.6948540947599623,1789844086.720667,3,benign,benign,benign,0,cloudflare_1,cloudflare_1_3,False,benign,False
9,1789844148.874556,149.17628002166748,4660,236328,2392,2268,76620,159708,32.031772575250834,70.41798941798942,16.034720799128173,15.203489453353969,0.48669527896995707,0.6757895805829186,1789844298.050836,4,benign,benign,benign,0,cloudflare_1,cloudflare_1_4,False,benign,False
11,1789844379.109113,152.74184107780457,5264,265080,2724,2540,85148,179932,31.258443465491922,70.83937007874016,17.834013134701134,16.629366138818238,0.4825227963525836,0.6787837633921835,1789844531.850954,5,benign,benign,benign,0,cloudflare_1,cloudflare_1_5,False,dga,False
17,1789844840.298251,149.8198549747467,5332,289244,2744,2588,91740,197504,33.432944606414,76.31530139103555,18.315329436559143,17.274078929232893,0.48537134283570893,0.682828338703655,1789844990.118106,7,dga:flubot,dga,flubot,1,cloudflare_1,cloudflare_1_7,False,dga,False
19,1789845070.576855,58.66857409477234,1924,117732,968,956,37704,80028,38.950413223140494,83.7112970711297,16.49946355328676,16.29492474890717,0.4968814968814969,0.6797472225053511,1789845129.245429,8,dga:zloader,dga,zloader,1,cloudflare_1,cloudflare_1_8,False,benign,False
20,1789845129.512278,90.28715085983276,2892,187052,1448,1444,54264,132788,37.47513812154696,91.9584487534626,16.03771950061823,15.993416408075086,0.49930843706777317,0.7098988516562239,1789845219.799429,8,dga:zloader,dga,zloader,1,cloudflare_1,cloudflare_1_8,False,benign,False
22,1789845300.669084,149.74792194366455,5072,254948,2604,2468,83116,171832,31.91858678955453,69.62398703403565,17.38922294347183,16.48103004012614,0.4865930599369085,0.6739884211682382,1789845450.417006,9,benign,benign,benign,0,cloudflare_1,cloudflare_1_9,False,benign,False
24,1789845664.055211,179.6258888244629,3740,189352,1892,1848,58848,130504,31.103594080338265,70.61904761904762,10.533002856002193,10.288049301211444,0.49411764705882355,0.6892137394904728,1789845843.6811,10,benign,benign,benign,0,cloudflare_1,cloudflare_1_10,True,benign,False
25,1789845844.404852,66.56015515327454,2212,109004,1148,1064,34100,74904,29.70383275261324,70.3984962406015,17.247555949297126,15.985539660324166,0.4810126582278481,0.6871674433965727,1789845910.965007,11,benign,benign,benign,0,cloudflare_1,cloudflare_1_11,False,dga,False
27,1789845991.938624,149.93774700164795,5116,311044,2564,2552,96756,214288,37.73634945397816,83.96865203761756,17.100430353750877,17.020397138366707,0.4988272087568413,0.688931469502707,1789846141.876371,12,dga:zloader,dga,zloader,1,cloudflare_1,cloudflare_1_12,False,dga,False
29,1789846222.457362,106.78775405883789,3576,182904,1864,1712,55688,127216,29.875536480686694,74.30841121495327,17.455184973484634,16.031800791097474,0.47874720357941836,0.6955342693434807,1789846329.245116,13,dga:qsnatch,dga,qsnatch,1,cloudflare_1,cloudflare_1_13,False,benign,False
30,1789846329.382591,178.74133706092834,3368,182620,1724,1644,54236,128384,31.45939675174014,78.09245742092457,9.645222690777638,9.197648551994453,0.48812351543942994,0.7030117183221991,1789846508.123928,13,dga:qsnatch,dga,qsnatch,1,cloudflare_1,cloudflare_1_13,True,benign,True
31,1789846509.117786,179.57521295547485,3360,163180,1752,1608,52184,110996,29.78538812785388,69.0273631840796,9.756357635139786,8.954465226772133,0.4785714285714286,0.6802059075867141,1789846688.692999,14,benign,benign,benign,0,cloudflare_1,cloudflare_1_14,True,benign,False
32,1789846689.274653,144.46007299423218,4820,243276,2468,2352,76196,167080,30.87358184764992,71.0374149659864,17.08430536442093,16.281315322981374,0.4879668049792531,0.6867919564609744,1789846833.734726,15,benign,benign,benign,0,cloudflare_1,cloudflare_1_15,False,,False
9,1789909341.229703,62.07228708267212,3688,156556,1376,2312,49628,106928,36.06686046511628,46.24913494809689,22.167702604019553,37.2468956544282,0.6268980477223427,0.683001609647666,1789909403.30199,2,dga:bazarbackdoor,dga,bazarbackdoor,1,google_1,google_1_2,False,benign,False
10,1789909403.438585,179.28972697257996,6092,266188,2252,3840,79416,186772,35.264653641207815,48.63854166666667,12.560675048294398,21.41784732924089,0.6303348653972423,0.701654469773243,1789909582.728312,2,dga:bazarbackdoor,dga,bazarbackdoor,1,google_1,google_1_2,True,benign,True
11,1789909583.340269,138.24682593345642,7916,290200,2904,5012,97816,192384,33.6831955922865,38.38467677573823,21.005907227105585,36.25399690848939,0.6331480545730167,0.6629359062715369,1789909721.587095,3,benign,benign,benign,0,google_1,google_1_3,False,benign,False
13,1789909801.801893,149.18236207962036,8340,311576,3060,5280,106872,204704,34.92549019607843,38.76969696969697,20.511808214746207,35.39292397838561,0.6330935251798561,0.6569954040105784,1789909950.984255,4,benign,benign,benign,0,google_1,google_1_4,False,benign,False
15,1789910032.007136,149.5607979297638,8512,337584,3268,5244,114072,223512,34.90575275397797,42.62242562929062,21.850645658728745,35.06266396400659,0.6160714285714286,0.6620929901891085,1789910181.567934,5,benign,benign,benign,0,google_1,google_1_5,False,dga,False
17,1789910262.158389,155.01811981201172,8960,374052,3308,5652,117896,256156,35.639661426844015,45.32130219391366,21.339440860278557,36.460253851963245,0.6308035714285715,0.6848138761455627,1789910417.176509,6,dga:bazarbackdoor,dga,bazarbackdoor,1,google_1,google_1_6,False,dga,False
19,1789910492.249199,111.69592499732971,6148,243172,2264,3884,83092,160080,36.70141342756184,41.21524201853759,20.269316002836494,34.77297851370007,0.6317501626545218,0.6582994752685342,1789910603.945124,7,dga:flubot,dga,flubot,1,google_1,google_1_7,False,dga,False
20,1789910604.025183,179.94161200523376,5848,257772,2172,3676,80676,177096,37.14364640883978,48.17627856365615,12.070582094912128,20.428848886232498,0.6285909712722298,0.6870257436804618,1789910783.966795,7,dga:flubot,dga,flubot,1,google_1,google_1_7,True,dga,False
21,1789910784.144168,150.06372904777527,5360,220448,1972,3388,73200,147248,37.11967545638945,43.4616292798111,13.141083541727669,22.577074563576748,0.6320895522388059,0.6679489040499347,1789910934.207897,8,dga:zloader,dga,zloader,1,google_1,google_1_8,False,benign,False
22,1789910953.271211,149.81108903884888,8992,350776,3308,5684,114280,236496,34.546553808948005,41.6073187895848,22.08114246564333,37.94111661871726,0.6321174377224199,0.6742080415991972,1789911103.0823,9,benign,benign,benign,0,google_1,google_1_9,False,benign,False
24,1789911183.440339,149.55632185935974,8980,355424,3364,5616,116632,238792,34.67063020214031,42.51994301994302,22.49319826923431,37.551070594536235,0.6253897550111358,0.6718510849014135,1789911332.996661,10,benign,benign,benign,0,google_1,google_1_10,False,benign,False
26,1789911413.85038,150.1229190826416,9176,344072,3372,5804,117332,226740,34.79596678529063,39.06616126809097,22.461593610125167,38.661651634984125,0.6325196163905842,0.6589899788416378,1789911563.973299,11,benign,benign,benign,0,google_1,google_1_11,False,dga,False
28,1789911644.626103,158.8566701412201,8852,376480,3324,5528,125348,251132,37.709987966305654,45.42908827785818,20.924522697378944,34.79866470250025,0.6244916403072752,0.6670526986825329,1789911803.482773,12,dga:zloader,dga,zloader,1,google_1,google_1_12,False,dga,False
35,1789911874.983015,149.30760502815247,8680,329348,3200,5480,107752,221596,33.6725,40.43722627737226,21.432263945273444,36.702752006280775,0.631336405529954,0.6728323839828996,1789912024.29062,13,dga:qsnatch,dga,qsnatch,1,google_1,google_1_13,False,benign,False
39,1789912335.286657,150.12205600738525,8792,347932,3240,5552,113528,234404,35.03950617283951,42.21974063400577,21.582438225070728,36.98323982271379,0.6314831665150137,0.6737063564144717,1789912485.408713,15,benign,benign,benign,0,google_1,google_1_15,False,,False
1,1790000325.014797,0.12981605529785156,16,96,8,8,0,96,0.0,12.0,61.6256593350083,61.6256593350083,0.5,1.0,1790000325.144613,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
2,1790000325.038741,1.4146299362182617,128,22952,60,68,3732,19220,62.2,282.6470588235294,42.41391933242862,48.06910857675244,0.53125,0.8373997908678982,1790000326.453371,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
3,1790000326.498862,1.640212059020996,140,10320,80,60,5768,4552,72.1,75.86666666666666,48.77418109445562,36.58063582084172,0.42857142857142855,0.44108527131782943,1790000328.139074,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
4,1790000329.000675,4.757540941238403,212,12644,108,104,7100,5544,65.74074074074075,53.30769230769231,22.700803069050888,21.860032585011968,0.49056603773584906,0.43846883897500794,1790000333.758216,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
5,1790000334.643015,0.3149850368499756,96,20752,44,52,3164,17588,71.9090909090909,338.2307692307692,139.68917520662032,165.0872070623695,0.5416666666666666,0.8475327679259831,1790000334.958,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
6,1790000335.566385,3.5023820400238037,164,11536,88,76,6656,4880,75.63636363636364,64.21052631578948,25.12575698321075,21.6995173945911,0.4634146341463415,0.42302357836338417,1790000339.068767,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
7,1790000339.749867,6.509336948394775,300,18256,172,128,9320,8936,54.18604651162791,69.8125,26.42358221176671,19.664061180849647,0.4266666666666667,0.4894829097283085,1790000346.259204,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
8,1790000346.460441,1.270319938659668,124,22952,56,68,3732,19220,66.64285714285714,282.6470588235294,44.08338269419464,53.52982184295063,0.5483870967741935,0.8373997908678982,1790000347.730761,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
9,1790000347.673388,4.765161991119385,200,12644,108,92,7100,5544,65.74074074074075,60.26086956521739,22.664497072979824,19.30679380290874,0.46,0.43846883897500794,1790000352.43855,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
10,1790000353.019184,2.7324018478393555,148,9356,72,76,5768,3588,80.11111111111111,47.21052631578947,26.350443313063174,27.81435683045557,0.5135135135135135,0.3834972210346302,1790000355.751586,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
11,1790000356.061883,3.8020150661468506,168,25608,88,80,5064,20544,57.54545454545455,256.8,23.145621063828013,21.0414736943891,0.47619047619047616,0.8022492970946579,1790000359.863898,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
12,1790000360.296785,3.6847307682037354,172,10428,88,84,6212,4216,70.5909090909091,50.19047619047619,23.882341895741547,22.796780900480567,0.4883720930232558,0.40429612581511315,1790000363.981516,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
13,1790000364.686967,2.4424021244049072,140,9320,72,68,5768,3552,80.11111111111111,52.23529411764706,29.479175145060456,27.841443192557097,0.4857142857142857,0.3811158798283262,1790000367.129369,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
14,1790000367.511844,4.581808090209961,208,26720,108,100,5508,21212,51.0,212.12,23.57148048840494,21.825444896671243,0.4807692307692308,0.7938622754491018,1790000372.093652,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
15,1790000372.810452,2.182835102081299,120,8212,64,56,5324,2888,83.1875,51.57142857142857,29.319667774710517,25.6547093028717,0.4666666666666667,0.35168046760837796,1790000374.993287,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
16,1790000375.164919,2.4453001022338867,128,9320,68,60,5768,3552,84.82352941176471,59.2,27.80844769845594,24.53686561628465,0.46875,0.3811158798283262,1790000377.610219,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
17,1790000378.270446,8.387280941009521,312,33440,172,140,8172,25268,47.51162790697674,180.4857142857143,20.507242002471603,16.691941164802465,0.44871794871794873,0.755622009569378,1790000386.657727,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
18,1790000387.623587,11.483106136322021,352,21580,200,152,10652,10928,53.26,71.89473684210526,17.416890310486927,13.236836635970064,0.4318181818181818,0.5063948100092679,1790000399.106693,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
19,1790000399.878128,1.3783369064331055,120,8248,64,56,5324,2924,83.1875,52.214285714285715,46.43276959449689,40.62867339518478,0.4666666666666667,0.3545101842870999,1790000401.256465,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
20,1790000402.269671,12.101887941360474,400,37872,224,176,9948,27924,44.410714285714285,158.6590909090909,18.509508688676412,14.543185398245754,0.44,0.7373257287705957,1790000414.371559,0,dga:zloader,dga,zloader,1,quad9_1,quad9_1_0,False,dga,False
